    Name,Hospital
    Blood Bank, G.B. Pant Hospital
    Blood Bank, Government Maternity Hospital
    Blood Bank, MNJ Cancer Hospital
    Blood Bank, Niloufer Hospital
    Blood Bank, Government General hospital
    Blood Bank, Government Victoria Hospital for Children
    Blood Bank, Government HQs Hospital
    Blood Bank, University Hospital
    Blood Bank, District Hospital
    Blood Bank, District Hospital
    Blood Bank, District Hospital
    Blood Bank, GGH
    Blood Bank, Indian Red Cross Soceity 
    Blood Bank, General Hospital
    Blood Bank, Kanaklata Civil Hospital
    Blood Bank, Bhogeswari Phukononi Civil Hospital
    Blood Bank, Kushal Konwar Hospital
    Blood Bank, Darbhanga Medical College Hospital
    Blood Bank, Jawahar Lal Nehru Medical College Hospital
    Blood Bank, Srikrishan Medical College
    Blood Bank, Anugrah Narain Magadh Medical College
    Blood Bank, Nalanda Medical College
    Blood Bank, Deptt. of Transfusion Medicine
    Blood Bank,Govt. Medical College & Hospital
    Rotary Blood Bank and Resource Centre, Sec 37
    Blood Bank, District Hospital
    Blood Bank, District Hospital
    Blood Bank, District Hospital
    Blood Bank, District Hospital
    Blood Bank, Indian Red Cross Society
    Daman Raktadan Kendra, Government Hospital Campus
    Blood Bank, Deen Dayal Upadhyay Hospital
    Blood Bank, Hindu Rao
    Blood Bank, Kasturba Hospital
    Blood Bank Swamy Dayanand Hospital, New Delhi
    Blood Bank, Baba Saheb Ambedkar Hospital
    Blood Bank, Goa Medical College
    Blood Bank, Government Hospital
    Blood Bank, Asilo Hospital
    Blood Bank, Civil Hospital
    Blood Bank, District Hospital
    Blood Bank, Municipal Hospital
    Blood Bank,P.S. Medical College
    Bhavnagar Blood Bank, Bhavnagar
    Blood Bank, G.K. General Hospital
    Blood Bank,Red Cross Soc.
    Blood Bank, Indian Red Cross Society
    Blood Bank, Indian Red Cross Society
    Blood Bank, Surat Health Care Foundation at Lokhat Hospital
    Blood Bank, Indian Red Cross Society
    Blood Bank, Sheth L.G. General Hospital (MUN)
    Blood Bank, Indira Gandhi Medical College
    State Blood Bank, Rippon Hospital
    Blood Bank, Zonal Hospital
    Blood Bank, Zonal Hospital
    Blood Bank, Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences
    Blood Bank, General Hospital
    Blood Bank, General Hospital
    Blood Bank, District Hospital
    Blood Bank, SMHS Hospital
    Blood Bank, Jammu Medical College Hospital
    Blood Bank, SKIMS Hospital
    Blood Bank, Lalla Ded Hospital
    Blood Bank, Bone & Joint Hospital
    Blood Bank, Rajendra Institute of Medical Science
    Jamshedpur Blood Bank, Jamshedpur
    Blood Bank, Bokaro General Hospital (SAIL)
    Blood Bank, MGM Medical College
    Blood Bank, Patliputra Medical College Hospital
    Blood Bank, Kidwai Memorial Institute of Oncology
    Rastrothana Parishath Blood Bank, Bangalore
    Blood Bank, Karnataka Institute of Medical Sciences (KIMS) Hospital
    Blood Bank, M.R. Medical College
    Blood Bank, NIMHANS
    Blood Bank, Medical College
    Blood Bank, Kasturba Medical College
    Blood Bank, Bowring and Lady Curzon Hospital
    Blood Bank, HSIS Hospital
    Blood Bank, KC General Hospital
    Blood Bank, Victoria Hospital in Bangalore Medical College
    Blood Bank, Indian Red Cross Society
    Blood Bank, K.R. Hospital & Mysore Medical College
    Blood Bank, District Hospital
    Blood Bank, Macgvan District Hospital
    Blood Bank, ESI Hospital
    Blood Bank, Medical College Hospital
    IMA Blood Bank, Ernakulum (Kochi)
    Blood Bank, Medical College Hospital
    Blood Bank, Medical College Hospital
    Blood Bank, Shri Chitra Triunal Institute of Medical Sciences & Technology
    Blood Bank, Medical College
    Blood Bank, Medical College Hospital
    Blood Bank, Academy of Medical Sciences
    Blood Bank, District Hospital
    Blood Bank, Government General Hospital
    Blood Bank, Women and Children Hospital
    Blood Bank, District Hospital
    Blood Bank, General Hospital
    Blood Bank, General Hospital
    Blood Bank, District Hospital
    Blood Bank, District Hospital
    Blood Bank, Taluk HQ Hospital
    Blood Bank, District Hospital
